,Type,Beds,Baths,Home Square Footage,Lot Square Footage,Address,Created
0,,4,1.5,"1,750","7,321","4445 Davenport Ave, Oakland, CA 94619",Jun-03-2022 11:27:04
1,,2,1,992,"5,676","4126 Kuhnle Ave, Oakland, CA 94605",Jun-03-2022 11:27:04
2,,4,4,"2,142","2,400","7231 Lockwood St, Oakland, CA 94621",Jun-03-2022 11:27:04
3,,3,2,"1,119","5,300","27592 Gainesville Ave, Hayward, CA 94545",Jun-03-2022 11:27:04
4,,2,2,"1,307",943,"867 W Grand Ave, Oakland, CA 94607",Jun-03-2022 11:27:04
5,,4,3,"2,217","4,800","952 Alma Pl, Oakland, CA 94610",Jun-03-2022 11:27:04
6,,1,1,719,"4,375","574 29th St, Oakland, CA 94609",Jun-03-2022 11:27:04
7,,4,2,"1,154","3,125","1238 94th Ave, Oakland, CA 94603",Jun-03-2022 11:27:04
8,,3,2.5,"1,600","4,051","252 International Blvd Apt 301, Oakland, CA 94606",Jun-03-2022 11:27:04
9,,4,2,"1,762","5,500","3157 San Angelo Way, Union City, CA 94587",Jun-03-2022 11:27:04
10,,3,2,"1,140","4,440","2865 Vallecito Pl, Oakland, CA 94606",Jun-03-2022 11:27:04
11,,3,2,"1,232",9.07,"21117 Gary Dr Apt 105, Hayward, CA 94546",Jun-03-2022 11:27:04
12,,2,1,"1,122","3,610","8100 Iris St, Oakland, CA 94605",Jun-03-2022 11:27:04
13,,3,3,"1,666","6,197","2554 Wakefield Ave, Oakland, CA 94606",Jun-03-2022 11:27:04
14,,4,2,"2,318",0.44,"6959 Paso Robles Dr, Oakland, CA 94611",Jun-03-2022 11:27:04
15,,6,4,"2,900","5,000","425 E 15th St, Oakland, CA 94606",Jun-03-2022 11:27:04
16,,3,2,"1,891","5,580","15352 Laverne Dr, San Leandro, CA 94579",Jun-03-2022 11:27:04
17,,5,3,"2,105","7,000","8925 Lawlor St, Oakland, CA 94605",Jun-03-2022 11:27:04
18,,3,3,"1,880","4,400","6045 Buena Ventura Ave, Oakland, CA 94605",Jun-03-2022 11:27:04
