,Status,Price,Address,Link
0,"Sold - Jun 17, 2022","$1,580,000","728 Callaway St, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/728-Callaway-St_San-Leandro_CA_94577_M11214-72427
1,"Sold - Jun 17, 2022","$1,700,000","400 Woodland Park, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/400-Woodland-Park_San-Leandro_CA_94577_M24715-70780
2,"Sold - Jun 17, 2022","$1,399,000","1300 Benedict Dr, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/1300-Benedict-Dr_San-Leandro_CA_94577_M25698-03805
3,"Sold - Jun 16, 2022","$585,000","2327 Fairway Dr, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/2327-Fairway-Dr_San-Leandro_CA_94577_M10666-70642
4,"Sold - Jun 16, 2022","$880,000","13304 Aurora Dr, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/13304-Aurora-Dr_San-Leandro_CA_94577_M10890-30207
5,"Sold - Jun 15, 2022","$835,000","475 Nabor St, San Leandro, CA 94578",Https://www.realtor.com/realestateandhomes-detail/475-Nabor-St_San-Leandro_CA_94578_M27465-18904
6,"Sold - Jun 15, 2022","$870,000","14822 Lark St, San Leandro, CA 94578",Https://www.realtor.com/realestateandhomes-detail/14822-Lark-St_San-Leandro_CA_94578_M28811-23488
7,"Sold - Jun 15, 2022","$980,000","580 Superior Ave, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/580-Superior-Ave_San-Leandro_CA_94577_M24370-62517
8,"Sold - Jun 15, 2022","$810,000","13834 Rose Dr, San Leandro, CA 94578",Https://www.realtor.com/realestateandhomes-detail/13834-Rose-Dr_San-Leandro_CA_94578_M96447-42702
9,"Sold - Jun 14, 2022","$960,000","1237 Fordham Ave, San Leandro, CA 94579",Https://www.realtor.com/realestateandhomes-detail/1237-Fordham-Ave_San-Leandro_CA_94579_M14107-09823
10,"Sold - Jun 13, 2022","$1,428,000","1789 Benedict Dr, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/1789-Benedict-Dr_San-Leandro_CA_94577_M26141-50276
11,"Sold - Jun 13, 2022","$790,000","488 Cascade Rd, San Leandro, CA 94577",Https://www.realtor.com/realestateandhomes-detail/488-Cascade-Rd_San-Leandro_CA_94577_M26369-94299
12,"Sold - Jun 13, 2022","$868,000","1480 Randy St, San Leandro, CA 94579",Https://www.realtor.com/realestateandhomes-detail/1480-Randy-St_San-Leandro_CA_94579_M22707-20983
