,Type,Price,Estimate Payment,Beds,Baths,Home Square Footage,Lot Square Footage,Address,Created
0,Mfd/Mobile Home,"$119,500",,2,2,"1,120",,"205 Santa Susana, San Leandro, CA 94579",Aug-04-2020 08:49:59
1,Condo,"$489,000",,2,2,918,436,"757 Majestic Way Unit 27, San Leandro, CA 94578",Aug-04-2020 08:49:59
2,House for Sale,"$759,000",,3,2,"1,609","5,487","1928 Trombas Ave, San Leandro, CA 94577",Aug-04-2020 08:49:59
3,House for Sale,"$699,000",,2,1,955,"5,280","342 Hollister Ct, San Leandro, CA 94577",Aug-04-2020 08:49:59
4,Multi-Family Home,"$629,000",,,,"4,800","4,800","1531 Thrush Ave, San Leandro, CA 94578",Aug-04-2020 08:49:59
5,Townhome,"$649,950",,3,3.5,"1,732","1,223","655 Macarthur Blvd, San Leandro, CA 94577",Aug-04-2020 08:49:59
6,Condo,"$460,000",,3,2,"1,060",,"14395 Doolittle Dr, San Leandro, CA 94577",Aug-04-2020 08:49:59
7,Condo,"$499,000",,2,1.5,"1,202",999,"14423 Seagate Dr, San Leandro, CA 94577",Aug-04-2020 08:49:59
8,Mfd/Mobile Home,"$119,950",,1,1,396,,"1468 Grand Ave Spc 29, San Leandro, CA 94577",Aug-04-2020 08:49:59
9,Townhome,"$679,900",,3,3,"1,957",1.94,"14384 Outrigger Dr, San Leandro, CA 94577",Aug-04-2020 08:49:59
10,House for Sale,"$734,950",,3,2,"1,704","5,300","14466 Juniper St, San Leandro, CA 94579",Aug-04-2020 08:49:59
11,House for Sale,"$1,199,999",,3,2.5,"2,823",0.26,"2416 Marineview Dr, San Leandro, CA 94577",Aug-04-2020 08:49:59
12,Condo,"$575,000",,3,2.5,"1,376",735,"15382 Hesperian Blvd Unit U1, San Leandro, CA 94578",Aug-04-2020 08:49:59
13,House for Sale,"$780,000",,3,2,"1,339","5,035","3594 Carrillo Dr, San Leandro, CA 94578",Aug-04-2020 08:49:59
14,House for Sale,"$1,000,000",,4,3.5,"3,088","6,060","750 Bancroft Ave, San Leandro, CA 94577",Aug-04-2020 08:49:59
15,House for Sale,"$819,000",,3,2,"2,000","5,244","1990 Bancroft Ave, San Leandro, CA 94577",Aug-04-2020 08:49:59
16,House for Sale,"$638,888",,4,3,"1,741","5,000","1077 Martin Blvd, San Leandro, CA 94577",Aug-04-2020 08:49:59
17,House for Sale,"$849,950",,4,3,"2,037","7,410","1016 Marquette Way, San Leandro, CA 94579",Aug-04-2020 08:49:59
18,House for Sale,"$829,950",,3,2,"1,314","6,578","493 Dolores Ave, San Leandro, CA 94577",Aug-04-2020 08:49:59
